Part,MANUFACTURER,MPN,DESCRIPTION
JETSON1:JETSON_J17_UART1:JP3,Wurth,61300611121,CONN HEADER 6 POS 2.54
JETSON1:JETSON_TX2_J21_EXPANSION1:LED1,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED2,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED3,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED4,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED5,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED6,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED7,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:LED8,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
JETSON1:JETSON_TX2_J21_EXPANSION1:R1,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R2,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R3,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R4,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R5,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R6,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R7,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R8,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R9,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:R10,,,RESISTOR
JETSON1:JETSON_TX2_J21_EXPANSION1:U$3,3M,N2530-6V0C-RB-WF,CONN HEADER 30POS SMT VERT 30AU
JETSON1:JETSON_TX2_J21_EXPANSION1:U1,NXP Semiconductors,PCF8574ATD-T,Remote 8-bit I/O expander for I2C-bus
MICROCONTROLLER1:LED1,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED2,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED3,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED4,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED5,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED6,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED7,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:LED8,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
MICROCONTROLLER1:R1,,,RESISTOR
MICROCONTROLLER1:R2,,,RESISTOR
MICROCONTROLLER1:R3,,,RESISTOR
MICROCONTROLLER1:R4,,,RESISTOR
MICROCONTROLLER1:R5,,,RESISTOR
MICROCONTROLLER1:R6,,,RESISTOR
MICROCONTROLLER1:R7,,,RESISTOR
MICROCONTROLLER1:R8,,,RESISTOR
MICROCONTROLLER1:R9,,,RESISTOR
MICROCONTROLLER1:R10,,,RESISTOR
MICROCONTROLLER1:U$1,,,Arduino Mega R3
MICROCONTROLLER1:U1,NXP Semiconductors,PCF8574ATD-T,Remote 8-bit I/O expander for I2C-bus
MOTOR_TOP1:JDL,Phoenix Contact,43045-0609,CONN HEADER 6POS RT ANG SMD TIN
MOTOR_TOP1:JDR,Phoenix Contact,43045-0609,CONN HEADER 6POS RT ANG SMD TIN
MOTOR_TOP1:X3,Phoenix Contact,43045-0609,CONN HEADER 6POS RT ANG SMD TIN
MOTOR_TOP1:X4,Phoenix Contact,43045-0609,CONN HEADER 6POS RT ANG SMD TIN
MOTOR_TOP1:X5,Phoenix Contact,43045-0609,CONN HEADER 6POS RT ANG SMD TIN
MOTOR_TOP1:X6,Molex,43045-0409,CONN HEADER 4POS RT ANG SMD TIN
MOTOR_TOP1:X7,Molex,43045-0409,CONN HEADER 4POS RT ANG SMD TIN
MOTOR_TOP1:X8,Molex,43045-0409,CONN HEADER 4POS RT ANG SMD TIN
POWER_TOP1:C1,,,CAPACITOR
POWER_TOP1:C2,,,CAPACITOR
POWER_TOP1:C3,,,CAPACITOR
POWER_TOP1:C4,,,CAPACITOR
POWER_TOP1:F1,Littelfuse,0154004.DR,Fuse Chip Very Fast Acting 4A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL
POWER_TOP1:F2,Littelfuse,0154004.DR,Fuse Chip Very Fast Acting 4A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL
POWER_TOP1:LED1,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
POWER_TOP1:LED2,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
POWER_TOP1:LED3,Chicago Miniature Lighting,CMD17-21VGD/TR8,"Led, Green, 1.25mm x 1.4mm, 7mcd, 570nm, Full Reel"
POWER_TOP1:MOV1,TDK Corporation,AVR-M2012C120MT6AB ,VARISTOR 12V 60A 0805 
POWER_TOP1:MOV2,Avx,VC080503A100DP,VARISTOR 5V 40A 0805 
POWER_TOP1:R2,,,RESISTOR
POWER_TOP1:R3,,,RESISTOR
POWER_TOP1:R4,,,RESISTOR
POWER_TOP1:U$1,Recom,R-725.0P,CONV DC/DC 2A 6.5-28VIN 5V
POWER_TOP1:U$2,Delta Electronics,V36SE12004NRFA,MODULE DC/DC 1/16 BRICK 12V 4A
RC_INPUT1:U1,Fairchild Semiconductor,NC7SZ04M5,NC7SZ04 Series 5.5 V Surface Mount TinyLogic UHS Inverter - SOT-23-5
RC_INPUT1:X1,Molex,43045-0409,CONN HEADER 4POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:D2,STMicroelectronics,STPS20M60D,SCHOTTKY 60V 20A
RELAY_CONTROL_TOP1:FH3,LittelFuse,01000020Z,2x FUSE CLIP CARTRIDGE 600V 20A PCB
RELAY_CONTROL_TOP1:ISO1:R1,,,47kΩ resistor
RELAY_CONTROL_TOP1:ISO1:R2,,,330kΩ resistor
RELAY_CONTROL_TOP1:ISO1:R3,,,1.20kΩ resistor
RELAY_CONTROL_TOP1:ISO1:R4,,,1.20kΩ resistor
RELAY_CONTROL_TOP1:ISO1:R5,,,330kΩ resistor
RELAY_CONTROL_TOP1:ISO1:R6,,,2kΩ resistor
RELAY_CONTROL_TOP1:ISO1:U1,Texas Instruments,AMC1200SDUB,IC OPAMP ISOLATION 100KHZ 8SOP
RELAY_CONTROL_TOP1:ISO1:U2,Vishay Semiconductor,SFH615A-3X009T,Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP SMD T/R
RELAY_CONTROL_TOP1:JBAT,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:JDC,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:JISO,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:JMC,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:MOV1,Bourns,MOV-20D470K ,VARISTOR 47V 2KA DISC 20MM
RELAY_CONTROL_TOP1:R1,Yageo,,RES SMD 0 OHM JUMPER 1W 2512 
RELAY_CONTROL_TOP1:R2,Yageo,,RES SMD 0 OHM JUMPER 1W 2512 
RELAY_CONTROL_TOP1:REGULATOR1:U1,Texas Instruments,LM2936HVMAX5.0NOPB,IC REG LINEAR 5V 50MA 8SOIC
RELAY_CONTROL_TOP1:RELAY_CONTROL1:D1,SMC,1N4148WSTR,DIODE GEN PURP 75V 300MA SOD323
RELAY_CONTROL_TOP1:RELAY_CONTROL1:D2,SMC,1N4148WSTR,DIODE GEN PURP 75V 300MA SOD323
RELAY_CONTROL_TOP1:RELAY_CONTROL1:JESTP,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:RELAY_CONTROL1:JMOW,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:RELAY_CONTROL1:JTHR,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R1,,,1.20kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R3,,,1.20kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R11,,,47kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:R13,,,47kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCB1,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCB2,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCD,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:RCCM,Rohm,,RES SMD 52.3 OHM 1% 1W 2512
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$2,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$7,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223
RELAY_CONTROL_TOP1:RELAY_CONTROL1:U$10,Diodes Inc,ZXTN25100DGTA,TRANS NPN 100V 3A SOT223
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R1,,,750Ω resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R2,,,150kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R3,,,RES-10066
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R4,,,47kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R7,,,6.8kΩ resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:R8,,,75Ω resistor
RELAY_CONTROL_TOP1:RELAY_CONTROL1:UVLO1:U1,Texas Instruments,LMV762MM/NOPB,"Low Voltage, Precision Comparator with Push-Pull Output 8-VSSOP -40 to 125"
SENSOR_TOP1:ENCODER1:X1,Phoenix Contact,1751264,CONN TERM BLOCK 4POS 3.5MM
SENSOR_TOP1:ENCODER2:X1,Phoenix Contact,1751264,CONN TERM BLOCK 4POS 3.5MM
SENSOR_TOP1:IMU1:U$1,Sparkfun,LSM9DS1-Breakout,9DoF IMU Breakout
SENSOR_TOP1:REACH_GPS1:U$1,Hirose,DF13-6P-1.25V(50),CONN HEADER 6POS 1.25MM SMD GOLD
U301, Push- Pull 14-TSSOP -40 to 125,Texas Instruments,4-Bit Bidirectional Multi-Voltage Level Translator for Open-Drain &amp
X101,Phoenix Contact,43045-0209,CONN HEADER 2POS RT ANG SMD TIN
